ticker,formType,companyName,filedAt,linkToFilingDetails
FONR,NT 10-K,FONAR CORP,2025-09-12T16:31:45-04:00,https://www.sec.gov/Archives/edgar/data/355019/000035501925000059/fonar_12b-25.htm
EGAN,10-K,EGAIN Corp,2025-09-12T16:06:18-04:00,https://www.sec.gov/Archives/edgar/data/1066194/000110465925089540/egan-20250630x10k.htm
PAXH,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,2025-09-12T15:43:17-04:00,https://www.sec.gov/Archives/edgar/data/1350156/000126246325000185/paxh53125k.htm
CSUI,10-K,CANNABIS SUISSE CORP.,2025-09-12T12:24:53-04:00,https://www.sec.gov/Archives/edgar/data/1680132/000113902025000326/csui-20250531_10k.htm
,10-K,Limitless Projects Inc.,2025-09-12T12:19:53-04:00,https://www.sec.gov/Archives/edgar/data/1842167/000113902025000324/lmls-20240731_10k.htm
CPTK,10-K,Crown PropTech Acquisitions,2025-09-11T21:59:41-04:00,https://www.sec.gov/Archives/edgar/data/1827899/000121390025087024/ea0250635-10k_crownprop.htm
LYTS,10-K,LSI INDUSTRIES INC,2025-09-11T17:08:28-04:00,https://www.sec.gov/Archives/edgar/data/763532/000143774925028862/lyts20250630_10k.htm
FARM,10-K,FARMER BROTHERS CO,2025-09-11T17:04:15-04:00,https://www.sec.gov/Archives/edgar/data/34563/000003456325000071/farm-20250630.htm
,10-K,UBUYHOLDINGS INC,2025-09-11T17:02:09-04:00,https://www.sec.gov/Archives/edgar/data/787496/000182912625007322/ubuyholdings_10k.htm
TMGI,10-K,"Marquie Group, Inc.",2025-09-11T16:56:28-04:00,https://www.sec.gov/Archives/edgar/data/1434601/000168316825006872/marquie_i10k-053125.htm
BLIS,10-K,"NAPC Defense, Inc.",2025-09-11T16:50:13-04:00,https://www.sec.gov/Archives/edgar/data/1703625/000119983525000302/napc-10k.htm
EVI,10-K,"EVI INDUSTRIES, INC.",2025-09-11T16:25:11-04:00,https://www.sec.gov/Archives/edgar/data/65312/000207709625000107/ea0255001-10k_eviindus.htm
AOXY,10-K,ADVANCED OXYGEN TECHNOLOGIES INC,2025-09-11T16:21:49-04:00,https://www.sec.gov/Archives/edgar/data/352991/000147793225006652/aoxy_10k.htm
IBEX,10-K,IBEX Ltd,2025-09-11T16:21:27-04:00,https://www.sec.gov/Archives/edgar/data/1720420/000172042025000027/ibex-20250630.htm
GWRE,10-K,"Guidewire Software, Inc.",2025-09-11T16:16:24-04:00,https://www.sec.gov/Archives/edgar/data/1528396/000152839625000221/gwre-20250731.htm
NB,10-K,NIOCORP DEVELOPMENTS LTD,2025-09-11T16:04:03-04:00,https://www.sec.gov/Archives/edgar/data/1512228/000153949725002331/n2574_x280-10k.htm
ZS,10-K,"Zscaler, Inc.",2025-09-11T16:03:37-04:00,https://www.sec.gov/Archives/edgar/data/1713683/000171368325000158/zs-20250731.htm
,10-K,DeltaSoft Corp,2025-09-11T15:59:22-04:00,https://www.sec.gov/Archives/edgar/data/2020919/000168316825006862/deltasoft_i10k-033125.htm
SMBC,10-K,"SOUTHERN MISSOURI BANCORP, INC.",2025-09-11T15:42:44-04:00,https://www.sec.gov/Archives/edgar/data/916907/000155837025012001/smbc-20250630x10k.htm
IROQ,10-K,"IF Bancorp, Inc.",2025-09-11T11:31:19-04:00,https://www.sec.gov/Archives/edgar/data/1514743/000119312525201039/d91512d10k.htm
AMRK,10-K,"A-Mark Precious Metals, Inc.",2025-09-10T21:29:55-04:00,https://www.sec.gov/Archives/edgar/data/1591588/000119312525200462/amrk-20250630.htm
WETH,10-K,Wetouch Technology Inc.,2025-09-10T21:00:35-04:00,https://www.sec.gov/Archives/edgar/data/1826660/000121390025086651/ea0238106-10k_wetouch.htm
GPOX,10-K,"GPO Plus, Inc.",2025-09-10T20:27:11-04:00,https://www.sec.gov/Archives/edgar/data/1673475/000164033425001674/gpox_10k.htm
SING,10-K,SinglePoint Inc.,2025-09-10T16:59:17-04:00,https://www.sec.gov/Archives/edgar/data/1443611/000147793225006613/sing_10k.htm
MTRX,10-K,MATRIX SERVICE CO,2025-09-10T16:42:00-04:00,https://www.sec.gov/Archives/edgar/data/866273/000086627325000069/mtrx-20250630.htm
AVNW,10-K,"AVIAT NETWORKS, INC.",2025-09-10T16:37:43-04:00,https://www.sec.gov/Archives/edgar/data/1377789/000137778925000068/avnw-20250627.htm
CJAX,10-K/A,CoJax Oil & Gas Corp,2025-09-10T16:20:52-04:00,https://www.sec.gov/Archives/edgar/data/1763925/000175392625001452/g084944_10ka.htm
AENT,10-K,ALLIANCE ENTERTAINMENT HOLDING CORP,2025-09-10T16:09:54-04:00,https://www.sec.gov/Archives/edgar/data/1823584/000149315225012989/form10-k.htm
ZRCN,10-K,ZRCN Inc.,2025-09-10T15:15:35-04:00,https://www.sec.gov/Archives/edgar/data/1901297/000164117225027037/form10-k.htm
,10-K,Limitless Projects Inc.,2025-09-09T18:59:11-04:00,https://www.sec.gov/Archives/edgar/data/1842167/000113902025000309/lmls-20230731_10k.htm
SRGZ,10-K,Star Gold Corp.,2025-09-09T17:51:47-04:00,https://www.sec.gov/Archives/edgar/data/1401835/000143774925028701/srgz20250430_10k.htm
BIMT,10-K,CAMBELL INTERNATIONAL HOLDING CORP.,2025-09-09T17:19:38-04:00,https://www.sec.gov/Archives/edgar/data/1678848/000121390025086261/ea0254317-10k_cambell.htm
INNV,10-K,InnovAge Holding Corp.,2025-09-09T17:06:57-04:00,https://www.sec.gov/Archives/edgar/data/1834376/000183437625000062/innv-20250630.htm
ALMU,10-K,"Aeluma, Inc.",2025-09-09T17:01:15-04:00,https://www.sec.gov/Archives/edgar/data/1828805/000121390025086227/ea0256331-10k_aelumainc.htm
,10-K/A,Genvor Inc,2025-09-09T11:27:16-04:00,https://www.sec.gov/Archives/edgar/data/1792941/000190359625000460/gnvr_10k.htm
CTLP,10-K,"CANTALOUPE, INC.",2025-09-08T17:04:51-04:00,https://www.sec.gov/Archives/edgar/data/896429/000162828025041775/ctlp-20250630.htm
GROW,10-K,U S GLOBAL INVESTORS INC,2025-09-08T16:51:25-04:00,https://www.sec.gov/Archives/edgar/data/754811/000143774925028574/usglobal20250630_10k.htm
TWIN,10-K,TWIN DISC INC,2025-09-05T16:32:24-04:00,https://www.sec.gov/Archives/edgar/data/100378/000143774925028487/twin20250630_10k.htm
SKWD,10-K/A,"Skyward Specialty Insurance Group, Inc.",2025-09-05T16:29:24-04:00,https://www.sec.gov/Archives/edgar/data/1519449/000151944925000047/skwd-20241231.htm
GDLC,10-K,Grayscale Digital Large Cap Fund LLC,2025-09-05T16:08:17-04:00,https://www.sec.gov/Archives/edgar/data/1729997/000172999725000006/gdlc-20250630.htm
LTCN,10-K,Grayscale Litecoin Trust,2025-09-05T16:04:02-04:00,https://www.sec.gov/Archives/edgar/data/1732406/000173240625000005/ltcn-20250630.htm
BCHG,10-K,Grayscale Bitcoin Cash Trust,2025-09-05T16:02:31-04:00,https://www.sec.gov/Archives/edgar/data/1732409/000173240925000005/bchg-20250630.htm
